Period_Index,Rep_Period_Index,Month,Rep_Period
1,4,1,1
2,1,1,2
3,2,1,54
4,1,1,2
5,1,1,2
6,1,1,2
7,1,1,2
8,1,2,2
9,3,2,36
10,3,2,36
11,1,2,2
12,2,2,54
13,1,2,2
14,1,2,2
15,1,3,2
16,1,3,2
17,1,3,2
18,1,3,2
19,3,3,36
20,2,3,54
21,3,3,36
22,1,3,2
23,3,4,36
24,1,4,2
25,1,4,2
26,3,4,36
27,1,4,2
28,2,4,54
29,3,4,36
30,3,4,36
31,3,5,36
32,3,5,36
33,1,5,2
34,1,5,2
35,3,5,36
36,3,5,36
37,2,5,54
38,3,6,36
39,1,6,2
40,2,6,54
41,2,6,54
42,3,6,36
43,2,6,54
44,3,6,36
45,3,6,36
46,3,7,36
47,3,7,36
48,2,7,54
49,2,7,54
50,2,7,54
51,3,7,36
52,1,7,2
53,2,7,54
54,2,8,54
55,3,8,36
56,2,8,54
57,2,8,54
58,2,8,54
59,2,8,54
60,2,8,54
61,2,9,54
62,2,9,54
63,2,9,54
64,3,9,36
65,2,9,54
66,3,9,36
67,3,9,36
68,3,9,36
69,2,10,54
70,2,10,54
71,2,10,54
72,1,10,2
73,3,10,36
74,1,10,2
75,2,10,54
76,1,10,2
77,1,11,2
78,1,11,2
79,3,11,36
80,3,11,36
81,1,11,2
82,3,11,36
83,3,11,36
84,3,12,36
85,2,12,54
86,2,12,54
87,3,12,36
88,2,12,54
89,1,12,2
90,3,12,36
91,1,12,2
